Temperature,Humidity,Rainfall,Leaf wetness Hours,Bacterial leaf spot,Alternariablight,Powdery mildew,Rhizopusrot,Downy mildew,Girdle beetle
21.7,59.0,0.0,0.92,0,0,1,0,0,0
21.6,57.0,0.0,0.25,0,0,1,0,0,0
22.9,61.0,0.0,0.0,0,0,0,0,1,1
23.9,66.0,0.4,0.0,0,0,0,1,1,0
24.4,67.0,0.0,5.17,0,0,0,0,1,1
24.3,63.0,0.0,1.83,0,0,0,0,1,1
23.0,59.0,0.0,1.83,0,0,1,0,0,0
22.6,62.0,0.0,3.58,0,0,0,0,1,1
22.8,67.0,0.2,0.33,0,0,0,1,1,0
24.1,69.0,0.2,5.67,0,0,0,1,1,0
23.7,66.0,0.0,4.75,0,0,0,0,1,1
24.8,62.0,0.0,0.0,0,0,0,0,1,1
24.8,70.0,0.2,0.83,0,0,0,1,1,0
25.1,74.0,0.2,5.0,0,0,0,1,0,0
24.3,71.0,0.4,4.5,0,0,0,1,0,0
23.1,60.0,0.2,4.75,0,0,1,1,1,0
21.5,61.0,0.0,0.0,0,0,0,0,1,1
20.6,62.0,0.0,0.67,0,0,0,0,1,1
23.9,60.0,0.2,0.0,0,0,1,1,1,0
25.5,77.0,3.8,4.67,0,0,0,1,0,0
23.6,89.0,4.6,10.0,0,0,0,1,0,0
22.1,98.0,3.4,15.58,0,0,0,0,0,0
23.3,91.0,0.2,11.25,0,0,0,0,0,0
24.5,86.0,0.2,8.92,1,0,0,1,0,0
23.6,85.0,0.0,8.5,0,0,0,0,0,0
23.5,81.0,0.0,6.5,0,0,0,0,0,0
23.8,79.0,0.0,2.75,0,0,0,0,0,1
23.4,79.0,0.2,5.25,0,0,0,1,0,0
23.0,71.0,0.0,8.75,0,0,0,0,0,1
22.4,74.0,0.0,8.5,0,0,0,0,0,1
22.3,69.0,0.0,8.42,0,0,0,0,1,1
20.9,69.0,0.0,6.33,0,0,0,0,1,1
20.3,70.0,0.0,6.58,0,0,0,0,1,1
19.7,67.0,0.2,5.83,0,0,0,0,1,0
19.2,68.0,0.0,5.0,0,0,0,0,1,1
19.0,68.0,0.0,7.17,0,0,0,0,1,1
19.0,70.0,0.2,6.67,0,1,0,0,1,0
19.1,71.0,0.0,8.5,0,1,0,0,0,1
19.1,70.0,0.0,8.17,0,1,0,0,1,1
18.5,66.0,0.0,7.92,0,0,0,0,1,1
18.8,66.0,0.0,4.67,0,0,0,0,1,1
18.4,68.0,0.2,6.92,0,0,0,0,1,0
18.0,69.0,0.0,7.42,0,0,0,0,1,1
18.7,69.0,0.0,4.5,0,0,0,0,1,1
17.7,69.0,0.0,8.83,0,0,0,0,1,1
17.3,68.0,0.2,6.92,0,0,0,0,1,0
17.8,65.0,0.0,4.42,0,0,0,0,1,1
17.7,67.0,0.0,4.83,0,0,0,0,1,1
18.5,67.0,0.0,2.67,0,0,0,0,1,1
19.0,67.0,0.0,4.33,0,0,0,0,1,1
18.8,66.0,0.0,5.17,0,0,0,0,1,1
19.1,63.0,0.0,5.83,0,0,0,0,1,1
18.1,64.0,0.0,3.0,0,0,0,0,1,1
